Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Color Code,Frequency
2022-02-27 14:41:32.018,12188.69682415686,6699.80129001156,35903.31654588182,32997.14273180279,60701.61589403342,34764.49516588392,9929.024866703136,17870.8678926072,,12.0
2022-02-27 14:43:55.266,18892.74494561493,6191.276751908869,32308.709002579333,31481.292126332777,65199.30096856368,29901.91786312078,10452.189797424056,18966.818626739816,,9.0
2022-02-27 14:43:56.086,18340.790968035577,6246.977299091494,32371.048017865185,32579.92506980003,65826.31210402395,29834.14737393229,10410.950828904011,19029.157642025668,,9.0
2022-02-27 14:42:45.179,13748.647421437196,6697.811984755038,33187.62429805092,34189.183615348775,59943.26590815376,32372.009142876763,10279.589626740171,18407.75679442368,,7.0
2022-02-27 14:43:38.367,16082.035432104522,6446.645432310753,32801.69907828559,31149.480479893744,63625.82756588788,30599.493455826458,10452.54742533534,18939.10246361524,,5.0
2022-02-27 14:42:48.083,13795.697843515616,6636.07646656948,33004.80938015096,33717.8076765308,59696.41324238935,32278.891775475957,10294.677054247506,18413.36708228196,,7.0
2022-02-27 14:42:24.246,12922.83987079142,6638.065771826002,33615.07905901421,34278.50118619218,60435.9654111821,33286.9554504103,10039.442484312354,18200.22084715615,,20.0
2022-02-27 14:41:35.862,12616.30804733134,6790.191744588822,36036.08590794634,34371.97618150427,61350.35292510426,35054.91138159172,9815.410949636813,17889.106916082732,,12.0
2022-02-27 14:42:31.042,14519.424977234004,6668.218275096211,33537.78672668776,32910.28385284947,59814.5198600912,32988.64906890978,10123.462691719851,18270.80765614601,,10.0
2022-02-27 14:44:10.784,16601.10999359012,5880.207524324361,31713.526751223417,32107.386840270385,64613.66291209018,29692.9067007192,10401.428985766051,19075.649270492708,,16.0
2022-02-27 14:41:34.714,12303.942418568424,6632.299021756533,35815.8541698282,34259.926886549816,61206.63120825663,34893.10710347976,9807.073748954985,17849.119645252187,,12.0
2022-02-27 14:44:05.051,16202.623093440903,5947.128647223551,31681.31788746332,31964.76035890107,64476.4679046235,29696.75120076552,10413.722445216472,19047.68723817912,,18.0
2022-02-27 14:41:42.330,12612.999989151956,6817.058541424101,35695.8253021032,33643.73399540591,60955.28584185671,34726.87717996564,9861.612005425932,17907.435346536084,,6.0
2022-02-27 14:42:37.442,13706.737900583496,6643.631356195374,33346.701663339336,34653.89873431906,61721.1683656178,32628.607169223687,10203.72780605886,18328.2739911406,,11.0
2022-02-27 14:41:28.433,12111.136270896945,6721.795406555582,36144.87184821032,32958.563620872934,60816.21328785578,35076.950201624655,9886.91418014934,17819.548287337817,,14.0
2022-02-27 14:43:31.684,15899.66754909367,6222.859766824218,32601.04746831029,31222.660091240417,64954.57171852252,30655.976314065018,10363.408668447575,18872.047230249314,,7.0
2022-02-27 14:44:04.231,16494.15689637147,5993.575572201678,31896.16285516773,32401.80401823569,64590.573560067845,29713.582064340364,10366.627319649138,19023.413243700656,,18.0
2022-02-27 14:42:30.014,13474.078592548203,6721.460130388753,33695.85826347569,34653.518754663324,60632.16902401079,33093.83637831645,10096.506487906754,18246.42190294527,,10.0
2022-02-27 14:42:36.110,13274.477514562312,6545.686011992218,33158.634085492384,33576.47759633989,63320.90506802858,32665.64400978613,10201.02324497977,18322.35077885995,,11.0
2022-02-27 14:42:36.750,13367.55017847421,6637.1940537922455,33292.58809001304,32737.795440887865,61791.37519495192,32648.924904933563,10229.745236604838,18322.5742963045,,11.0
2022-02-27 14:42:15.025,12622.901811945656,6594.725739327162,33925.343623798326,32819.53577036092,60034.23750808687,33751.53645891386,10053.65819378593,18179.858407957367,,16.0
2022-02-27 14:41:27.257,12171.307166970631,6647.945242875248,36106.31508902492,34152.63851316435,61343.15566338965,35081.17468132671,9842.65772612783,17792.837952713722,,14.0
2022-02-27 14:44:27.073,17435.567669340096,5876.363024278048,31289.20123448387,30363.682551822967,63961.26019492868,29636.58030469183,10576.219627406554,19254.06089473497,,11.0
2022-02-27 14:42:38.874,13707.654322106162,6695.84503124297,33420.79769620868,33817.22823586801,60603.1564597078,32586.11650301415,10240.764646621305,18340.00865697964,,11.0
2022-02-27 14:42:15.309,12651.623803570725,6625.481739697664,33952.41158633371,32726.91014133813,60032.53877550826,33721.92039751058,10033.787492965164,18195.07994593143,,16.0
2022-02-27 14:43:57.998,16836.04917955985,6113.82795737123,31939.860515577857,30625.13090671669,63969.32917467704,29790.427361777707,10464.63971908566,19074.598738503308,,9.0
2022-02-27 14:41:17.268,11959.233815578678,6583.68397756624,36553.10410894205,33303.83101747406,60074.02361321731,34897.80096981537,10015.615524722996,17789.306377089786,,5.0
2022-02-27 14:41:56.829,12408.705044830447,6681.763432236127,34738.32127312676,33195.60387082146,60477.941987269165,34362.476690110765,9858.169836779814,18013.069690831864,,18.0
2022-02-27 14:44:37.934,17058.4266851457,5846.612852408034,31184.32684949957,31744.48391729402,64315.06595791173,29685.3071076044,10605.23219170954,19282.537017171027,,20.0
