,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-2881.5868951781863,-3008.88007985116,-2957.9404542375155,-55202.34915046086,-53197.35296933091,-51528.43761783095,-38852.204543614935,-3100.5445838623746,-3096.0965867157684,-3120.1247120052235,-3178.932151667136,-59082.477877435434,-58027.98962926742,-56401.34142653244,-58123.76685425841,0.032
1,-5990.960418100407,-6055.780477020798,-5975.3141969816925,-110275.95225285915,-106452.35108761206,-103016.17270900878,-77691.73564812371,-5952.336603681637,-5913.042236929207,-5955.421144416469,-6054.171151420016,-117018.51243001371,-115464.82032118087,-111863.01551616378,-115769.96633648472,0.032
2,-5756.647080975424,-6025.091531883661,-5919.45718758788,-110407.49226897863,-106384.9605780793,-103057.29991880654,-77705.4372674748,-5950.7049263364,-5909.443606071903,-5978.376385972069,-6074.131259218605,-117022.37928180449,-115458.98651587803,-111873.02909767976,-115788.71945008272,0.032
3,-5986.378310487069,-6054.841703753675,-5974.822458603676,-110280.3331947724,-106456.01677370272,-103017.96084856521,-77695.78131387012,-5945.251100689305,-5904.392111825003,-5944.066458233173,-6036.692087255966,-117024.18977310536,-115436.81358537836,-111868.49169355532,-115765.31717363802,0.032
4,-5768.806429959111,-6029.673639496999,-5924.776902768243,-110401.79257414253,-106389.47563045927,-103056.83053217299,-77706.91248260885,-5960.964377041385,-5925.179234168439,-5994.536697213256,-6097.086500774205,-117019.7194242143,-115491.35184184932,-111871.12919940105,-115796.92254029782,0.034
5,-5974.353071970114,-6053.411192108535,-5972.810801602698,-110291.06203211095,-106456.93319522539,-103023.99581956814,-77698.39646797138,-5938.5679290971675,-5896.770166965744,-5934.544615095212,-6021.3364388151695,-117029.91181968592,-115410.61734087675,-111874.8619407251,-115762.45615034773,0.034
6,-5785.883162722965,-6033.205215120937,-5929.493120848313,-110392.3601379824,-106392.359005494,-103054.50595074963,-77704.72201165224,-5970.821496346176,-5937.539748852223,-6007.433653763968,-6115.392579483102,-117016.5678282461,-115518.6209700848,-111867.57527203266,-115801.77286884462,0.034
7,-5951.934272281441,-6047.443276338969,-5964.853580576609,-110301.61205549384,-106450.16061665543,-103025.98512482467,-77697.88237784892,-5932.7564755387875,-5886.957751149864,-5925.469806846358,-6005.801976418731,-117034.62803776599,-115383.99641323047,-111878.9076064715,-115757.96344971222,0.034
8,-5807.38554088897,-6036.110941900128,-5934.298745906204,-110378.43500118674,-106396.29291251814,-103048.98506986917,-77703.04563081809,-5977.214095260393,-5945.921653022963,-6015.726150956888,-6128.066018589261,-117011.9186653994,-115539.89983080624,-111861.92028068546,-115802.35401420046,0.037000000000000005
9,-5929.5825278261345,-6046.258633882837,-5961.545522397223,-110319.91813420274,-106448.10425616555,-103034.03175282858,-77703.49266570719,-5926.74385628031,-5880.1628208354505,-5919.524242821246,-5995.0954908246395,-117038.45018606784,-115363.29869786486,-111883.28854838473,-115755.48240607767,0.037000000000000005
10,-5835.302869713649,-6043.5764245482005,-5943.999402999807,-110368.73434409313,-106406.12768007847,-103048.40392451333,-77704.83377037452,-5986.981807587363,-5958.773906084765,-6026.276174339792,-6142.16996934056,-117014.13148810048,-115560.88811884978,-111863.77547547525,-115807.87489508092,0.037000000000000005
11,-5900.078225145129,-6040.6259942801,-5952.805990315198,-110336.86075649987,-106439.02944791669,-103038.94913660875,-77703.82794187403,-5923.882832990031,-5874.798402166177,-5916.484405575324,-5987.987636087852,-117041.78059599169,-115347.71953197951,-111886.55190307522,-115753.76132175462,0.037000000000000005
12,-5867.578788707112,-6049.253767639848,-5952.5377693817345,-110354.11630321936,-106414.30841854912,-103044.76059016712,-77704.65495641888,-5993.933200112963,-5964.98769104334,-6030.791226719764,-6148.204940343492,-117014.55617124513,-115572.42161898871,-111862.16614987448,-115807.42786019182,0.037000000000000005
13,-5869.433983496903,-6035.462741310924,-5944.446437888913,-110353.80337879699,-106429.30643907863,-103044.09003783346,-77705.61608143045,-5924.709847534878,-5873.7031666878665,-5919.2560218877825,-5988.389967488047,-117044.9768954488,-115341.55045050985,-111889.88231299905,-115755.19183339976,0.035500000000000004
14,-5895.183193109417,-6050.86309324063,-5957.119876995072,-110334.75969252107,-106420.58925874106,-103037.58568019696,-77700.85515986147,-5993.32970301267,-5965.5688363991785,-6027.952555173941,-6145.6568414755875,-117012.34334854405,-115572.73454341109,-111859.17101611746,-115802.93515955629,0.035500000000000004
15,-5837.180416247895,-6028.891328441064,-5934.276394161749,-110367.63910861482,-106417.68353196187,-103046.95106112375,-77703.58207268502,-5922.452321344891,-5872.272655042727,-5921.401789355492,-5990.356921000114,-117042.16057564743,-115340.29875282035,-111887.78124902026,-115754.36481885491,0.035500000000000004
16,-5924.642792301512,-6054.640538053577,-5963.624234631567,-110319.26993361354,-106428.72529372279,-103032.35537199443,-77698.53057843812,-5991.18393554496,-5962.059612519695,-6021.090569626162,-6136.783198926831,-117012.00807237723,-115563.97265958462,-111856.73467597183,-115795.7826013306,0.035500000000000004
17,-5810.045398479152,-6026.09736038415,-5927.995553969808,-110384.2017512562,-106408.34050277955,-103051.44376175926,-77705.41491573035,-5929.783693526232,-5878.30762604566,-5932.443551116414,-6001.979828116873,-117044.84278498207,-115351.25110760346,-111889.34587113213,-115759.21514740172,0.035500000000000004
18,-5950.771981569766,-6057.501561343856,-5969.5027434233125,-110306.12710787382,-106436.74956998225,-103028.08618880347,-77698.50822669367,-5990.133403555561,-5958.5280368957565,-6013.982714889374,-6126.032009843828,-117016.00903463473,-115550.38279895578,-111858.41105680598,-115790.1276099834,0.03275
19,-5785.883162722965,-6024.33157257218,-5923.055818445185,-110399.71386190818,-106400.60679919801,-103057.54578799556,-77707.82890413153,-5935.237519173327,-5885.437832526903,-5943.619423344067,-6016.016723634806,-117043.43462508138,-115366.80792174434,-111888.58591182064,-115763.99842071516,0.03275
20,-5972.654339391511,-6059.870846256119,-5974.643644648033,-110296.40409903576,-106445.19852938635,-103026.52156669159,-77698.01648831564,-5984.925447097475,-5952.7165833373765,-6003.5444502287455,-6111.63748641461,-117019.09357536955,-115531.07089174639,-111861.36148707409,-115784.33850816949,0.03275
21,-5764.604302001513,-6019.838871936664,-5916.059722430673,-110407.33580676744,-106390.21323802629,-103058.19398858477,-77704.65495641888,-5941.518359365268,-5894.199716353383,-5956.2928624502265,-6033.071104654206,-117039.70188375734,-115388.17618944362,-111885.83664725264,-115769.02756321759,0.03275
22,-5983.114955796595,-6055.959290976441,-5972.90020858052,-110284.80354366345,-106446.71844800931,-103019.59252591044,-77693.3896772134,-5974.889513837042,-5939.640812831022,-5987.2276767763715,-6089.44220417049,-117019.04887188064,-115501.45483034312,-111859.7968649622,-115772.76030454163,0.03275
23,-5756.647080975424,-6022.297563826748,-5916.506757319779,-110414.55542022652,-106387.64278741393,-103061.01030838613,-77707.71714540925,-5949.833208302643,-5904.280353102727,-5970.173295756972,-6051.757163018842,-117035.87973545548,-115413.0983845113,-111881.43335359496,-115773.69907780875,0.033375
