Session at 2022-03-30 21:00:19.359429


=====Trial 1=====
10 02 07
06 01 10
01 01 20
12 03 05
09 02 11
05 01 12
02 01 18
04 01 14
03 01 16
07 01 08
08 01 06
11 03 09

=====Trial 2=====
08 01 06
02 01 18
05 01 12
09 02 11
03 01 16
04 01 14
11 03 09
01 01 20
12 03 05
07 01 08
06 01 10
10 02 07

=====Trial 3=====
01 01 20
08 01 06
06 01 10
03 01 16
12 03 05
10 02 07
04 01 14
02 01 18
05 01 12
11 03 09
09 02 11
07 01 08

=====Trial 4=====
05 01 12
09 02 11
07 01 08
08 01 06
12 03 05
03 01 16
01 01 20
02 01 18
11 03 09
04 01 14
06 01 10
10 02 07

=====Trial 5=====
05 01 12
10 02 07
12 03 05
09 02 11
11 03 09
08 01 06
07 01 08
04 01 14
03 01 16
01 01 20
06 01 10
02 01 18
Session finished.

