Session at 2022-05-11 22:28:40.570333 


=====Trial 1=====
11 03 09
06 01 10
12 03 05
01 01 20
04 01 14
08 01 06
05 01 12
10 02 07
07 01 08
09 02 11
03 01 16
02 01 18

=====Trial 2=====
12 03 05
03 01 16
09 02 11
01 01 20
04 01 14
06 01 10
05 01 12
02 01 18
11 03 09
10 02 07
08 01 06
07 01 08

=====Trial 3=====
10 02 07
06 01 10
08 01 06
07 01 08
04 01 14
11 03 09
02 01 18
03 01 16
05 01 12
01 01 20
09 02 11
12 03 05

=====Trial 4=====
06 01 10
11 03 09
01 01 20
08 01 06
10 02 07
03 01 16
07 01 08
04 01 14
09 02 11
05 01 12
12 03 05
02 01 18

=====Trial 5=====
02 01 18
07 01 08
12 03 05
03 01 16
06 01 10
09 02 11
04 01 14
05 01 12
11 03 09
08 01 06
01 01 20
10 02 07
Session finished.

