,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-2940.528445306831,-2954.207712913479,-2997.480690178954,-2961.717899050462,-54713.74001666785,-52995.44966166612,-51168.99921524516,-38809.53506344975,-3066.659339268129,-3060.7361269874727,-3089.5475255903634,-3136.7767616244273,-58277.971539255566,-56631.743208377746,-55649.60755701156,-56333.235661177125
1,-6083.876619801119,-6127.21665229996,-6027.282002840281,-5978.532848183257,-109301.84087775242,-106047.60569901534,-102297.11708988156,-77605.50261801513,-5993.642627435044,-5905.174422880938,-6004.6620374515105,-6160.945434683017,-115115.95429372243,-112256.76384648847,-110358.22902419914,-111784.85146580357
2,-5885.169611593439,-5913.846899729598,-6003.164470573005,-5929.627231315045,-109419.81338498753,-105984.95375930713,-102333.12575019906,-77617.93018793227,-5997.643589692544,-5911.07528341714,-6035.932127944485,-6194.428347877068,-115115.77547976679,-112274.8464077528,-110363.99577426861,-111807.96316957036
3,-6075.293549930281,-6119.147672551593,-6027.349058073647,-5978.555199927712,-109308.52404934456,-106050.28790834999,-102300.00046491629,-77609.1683041058,-5986.199496531427,-5898.178326866428,-5994.357883257614,-6144.807475186286,-115121.60928506963,-112233.38392178822,-110363.28051844604,-111782.59393961358
4,-5891.629265741023,-5921.826472500143,-6004.416168262502,-5931.862405760576,-109411.52088779461,-105984.95375930713,-102329.81769201967,-77614.24215009715,-6005.042017107251,-5924.575737068145,-6048.314994372725,-6212.779130074875,-115112.84740124314,-112304.79774532293,-110361.26886144506,-111815.33924524061
5,-6054.797000264764,-6096.907686818563,-6019.637706236566,-5969.70390912341,-109315.11781395887,-106041.34721056787,-102299.26285734927,-77604.07210636999,-5975.269493492782,-5884.543762748691,-5979.963359828396,-6124.176815054037,-115122.3245408922,-112204.6842819076,-110362.87818704585,-111775.79900929917
6,-5906.180251381427,-5936.824493029653,-6007.500708997334,-5936.243347673816,-109402.2225621012,-105986.25016048554,-102325.39204661752,-77611.55994076251,-6012.105168355128,-5931.907109249486,-6055.62401480961,-6224.178519747081,-115108.95819770792,-112326.25542000002,-110355.16683520876,-111817.52971619723
7,-6034.389857577069,-6075.382956908102,-6016.66492422401,-5965.077098021162,-109326.56190711999,-106037.12273086581,-102301.31921783916,-77606.48609477116,-5970.7320893683545,-5877.033576611707,-5972.810801602698,-6111.123396292138,-115128.13599445058,-112183.6289386307,-110367.1026667479,-111774.6367185875
8,-5927.8837952475305,-5961.70198460841,-6014.47445326739,-5946.011060000785,-109389.59382648395,-105995.3696722233,-102322.12869192705,-77613.86217044141,-6018.47541552489,-5944.17821695545,-6065.011747480839,-6238.707153643031,-115107.08065117367,-112351.80346391244,-110352.90930901878,-111823.20705928888
9,-6010.138214843061,-6050.326651373703,-6014.47445326739,-5961.009080530296,-109342.20812823871,-106032.8311959304,-102307.66711326446,-77609.45887678371,-5966.775830599765,-5875.044271355185,-5970.933255068452,-6105.803681111775,-115133.65687533104,-112171.8272175583,-110373.60702438439,-111778.79414305618
10,-5948.648565846511,-5984.053729063718,-6017.313124813214,-5951.554292625701,-109375.24400654364,-106000.06353855891,-102316.87603198005,-77609.570635506,-6022.051694637739,-5950.526112380757,-6068.342157404681,-6245.099752557248,-115104.80077323923,-112366.51091176402,-110349.55654735048,-111825.26341977876
11,-5983.226714518871,-6021.00116264834,-6009.780586931776,-5953.387135671036,-109356.44618945674,-106023.80109117045,-102310.08110166564,-77608.60951049441,-5965.054746276706,-5870.819791653132,-5969.100412023117,-6100.439262442501,-115136.76376781032,-112161.54541510886,-110375.39516394082,-111779.97878551231
12,-5971.536752168746,-6009.668828209499,-6019.347133558647,-5956.985766528341,-109355.3062504895,-106006.07615781738,-102307.15302314199,-77605.94965290424,-6024.197462105449,-5953.767115326777,-6068.096288215672,-6246.262043268925,-115103.21379938291,-112374.6692984902,-110345.57793683744,-111824.3469982561
13,-5955.3540891831035,-5992.770909401287,-6006.472528752391,-5947.4862751348355,-109369.25373902962,-106016.93910562267,-102312.74095925581,-77610.6211674954,-5961.746688097321,-5870.01512885274,-5969.882723079053,-6101.266276987348,-115135.84734628766,-112160.36077265273,-110374.83637032943,-111782.25866344676
14,-5999.856412393619,-6040.9389187024735,-6027.214947606915,-5968.6757288784665,-109342.85632882791,-106019.19663181265,-102306.28130510823,-77607.87190292739,-6024.800959205742,-5958.483333406846,-6067.448087626468,-6246.932595602584,-115104.8678284726,-112380.03371715949,-110346.71787580465,-111826.33630351262
15,-5933.136455194528,-5968.5639701561895,-6007.545412486245,-5945.6087286005895,-109388.47623926119,-106012.11112882032,-102321.52519482675,-77613.8174669525,-5967.111106766594,-5877.368852778537,-5979.89630459503,-6112.464500959457,-115139.64714284506,-112172.09543849176,-110379.08320177594,-111792.11578275154
16,-6024.175110360994,-6066.710480059443,-6031.3723720756025,-5975.984749315352,-109330.0040757661,-106027.06444586092,-102301.78860447272,-77606.10611511543,-6028.086665640672,-5960.025603774262,-6065.481134114401,-6242.395191478156,-115111.05926168672,-112376.770362469,-110350.38356189533,-111827.76681515775
17,-5908.594239782601,-5942.5018361213015,-6004.818499662698,-5940.065495975673,-109400.7696987116,-106003.01396882701,-102322.86629949407,-77614.91270243081,-5971.737917868843,-5882.800326681177,-5988.926409354975,-6123.081579575727,-115139.64714284506,-112185.12650550921,-110378.36794595337,-111798.0836985211
18,-6043.218796636916,-6088.525782647823,-6033.272270354303,-5981.215057517893,-109316.16834594827,-106034.61933548682,-102296.06655789216,-77605.92730115978,-6022.409322549024,-5955.018813016273,-6055.758125276342,-6229.744104116453,-115112.42271809849,-112363.06874311791,-110350.38356189533,-111823.2964662667
19,-5889.2599808287605,-5922.6981905339,-6005.019665362795,-5937.785618041232,-109412.86199246193,-105997.53779143546,-102327.53781408523,-77616.9690629207,-5976.27532199327,-5892.277466330227,-6000.795185660742,-6139.264242561369,-115137.59078235517,-112206.5841801863,-110377.49622791962,-111806.2420852473
20,-6061.882503257097,-6108.329428235224,-6036.580328533689,-5987.18297328746,-109308.45699411118,-106042.64361174627,-102295.01602590276,-77604.94382440374,-6018.587174247167,-5950.548464125212,-6047.353869361147,-6217.0930167547485,-115117.47421234539,-112347.15430106573,-110354.16100670827,-111821.32951275463
21,-5878.30762604566,-5910.002399683285,-6005.980790374374,-5936.288051162726,-109420.26041987663,-105990.9663785656,-102328.96832573037,-77615.76206872011,-5986.266551764793,-5903.766262980254,-6016.217889334905,-6159.090239893227,-115136.6743608325,-112233.92036365514,-110375.66338487428,-111814.98161732932
