Session at 2021-11-27 22:46:34.731451


=====Trial 1=====
05 01 12
04 01 14
11 03 09
08 01 06
10 02 07
07 01 08
12 03 05
01 01 20
02 01 18
09 02 11
03 01 16
06 01 10

=====Trial 2=====
12 03 05
07 01 08
09 02 11
03 01 16
04 01 14
06 01 10
01 01 20
08 01 06
10 02 07
02 01 18
11 03 09
05 01 12

=====Trial 3=====
12 03 05
10 02 07
05 01 12
07 01 08
11 03 09
02 01 18
08 01 06
04 01 14
06 01 10
01 01 20
09 02 11
03 01 16

=====Trial 4=====
04 01 14
01 01 20
05 01 12
11 03 09
02 01 18
10 02 07
03 01 16
06 01 10
09 02 11
12 03 05
08 01 06
07 01 08

=====Trial 5=====
03 01 16
01 01 20
06 01 10
05 01 12
02 01 18
11 03 09
12 03 05
07 01 08
04 01 14
08 01 06
09 02 11
10 02 07
Session finished.

