1,2,3,4,5,6,7,8,9,10
-28234.009765625,29342.298828125,-32963.55078125,216470.75,141597.953125,151766.03125,163850.8125,56567.171875,-0.106689453125,1665550535.3081305
-34599.4296875,413.7755126953125,-10849.0009765625,-12.60638427734375,-6300.3310546875,-80.55569458007812,315.696044921875,272.8701171875,-0.1123046875,1665550535.3331735
-11695.4169921875,0.0,-8414.0908203125,0.0,-5453.46826171875,-1180.3509521484375,12.338163375854492,-2424.44921875,-0.115234375,1665550535.3607235
-1403.6895751953125,0.0,-6171.40625,0.0,-4240.5732421875,-3707.70751953125,114.6197509765625,-4374.0576171875,-0.114501953125,1665550535.3856845
-3136.754638671875,0.0,-4644.15625,3.129244327545166,-3407.121337890625,-4039.318115234375,530.541015625,-3759.653076171875,-0.11376953125,1665550535.4132552
-3049.85107421875,0.0,-3573.865234375,193.5661163330078,-2813.54833984375,-3335.7744140625,1516.4317626953125,-2985.74609375,-0.113525390625,1665550535.4381528
-2457.261474609375,0.0,-2736.211181640625,-789.2848510742188,-2303.928466796875,-2727.717529296875,-159.77027893066406,-2337.18798828125,-0.114013671875,1665550535.4632363
-1922.428955078125,0.0,-1955.95654296875,-2113.312744140625,-1907.8555908203125,-2243.578857421875,-1769.989990234375,-1871.8245849609375,-0.11376953125,1665550535.4881248
-1465.648681640625,12.338163375854492,-1605.481201171875,-1758.5458984375,-1591.176025390625,-1802.087158203125,-1670.6588134765625,-1498.729248046875,-0.11572265625,1665550535.5131984
-1067.2510986328125,243.90225219726562,-1232.29638671875,-1364.43994140625,-1304.1796875,-1363.992919921875,-1366.6751708984375,-1148.6114501953125,-0.116943359375,1665550535.5432203
-752.985595703125,-304.78839111328125,-940.7402954101562,-1020.9383544921875,-1073.241455078125,-1006.0073852539062,-1077.532958984375,-839.88916015625,-0.116455078125,1665550535.568114
-556.82666015625,-765.0555419921875,-769.6152954101562,-810.0272827148438,-944.6741943359375,-809.31201171875,-876.27783203125,-629.7827758789062,-0.116943359375,1665550535.5931485
-447.7501525878906,-760.585205078125,-698.8944091796875,-745.8330688476562,-950.5750122070312,-775.873779296875,-748.0682373046875,-509.9774169921875,-0.11572265625,1665550535.6181548
-388.3839416503906,-888.4371948242188,-755.3995971679688,-857.5023803710938,-1103.907958984375,-893.0863647460938,-682.622314453125,-481.0989685058594,-0.11572265625,1665550535.6432097
-360.48895263671875,-1005.6497192382812,-875.6519775390625,-995.2785034179688,-1235.3363037109375,-1146.8233642578125,-685.4833374023438,-378.28094482421875,-0.114013671875,1665550535.668161
-266.0751647949219,-749.14111328125,-714.5405883789062,-781.8640747070312,-974.8043212890625,-957.0123291015625,-514.0901489257812,-308.6329040527344,-0.114501953125,1665550535.6931963
-200.18223571777344,-668.4960327148438,-363.0817565917969,-588.9237670898438,-790.1788940429688,-691.7418212890625,-380.3373107910156,-432.2827453613281,-0.115966796875,1665550535.7206192
-260.08489990234375,-418.5140686035156,-319.2723388671875,-383.1089172363281,-445.6938171386719,-460.4459533691406,-323.295654296875,-347.7037658691406,-0.116455078125,1665550535.746244
-196.87417602539062,-289.0527648925781,-214.1297149658203,-257.4920959472656,-296.29473876953125,-287.2646484375,-277.519287109375,-244.97512817382812,-0.115234375,1665550535.746277
-176.31056213378906,-252.0382843017578,-185.8771209716797,-239.16368103027344,-250.69717407226562,-230.49119567871094,-266.3434143066406,-226.37847900390625,-0.1162109375,1665550535.771256
-170.767333984375,-223.15982055664062,-179.8868408203125,-228.16661071777344,-240.0577392578125,-231.9217071533203,-257.8497314453125,-215.82846069335938,-0.11669921875,1665550535.7712903
-166.7440185546875,-213.8614959716797,-175.86354064941406,-221.37168884277344,-234.06747436523438,-227.98780822753906,-249.89251708984375,-208.94412231445312,-0.115966796875,1665550535.7962804
-163.2571563720703,-207.0665740966797,-171.12496948242188,-216.1860809326172,-228.34542846679688,-221.46109008789062,-242.65054321289062,-203.13265991210938,-0.115234375,1665550535.7963161
-160.12789916992188,-202.23858642578125,-167.19105529785156,-211.17929077148438,-222.71279907226562,-216.00726318359375,-235.49798583984375,-197.94705200195312,-0.11572265625,1665550535.8206751
-156.81983947753906,-197.94705200195312,-163.79359436035156,-206.61953735351562,-217.34837341308594,-210.91107177734375,-229.1501007080078,-193.20848083496094,-0.1171875,1665550535.8468966
-154.04823303222656,-193.74493408203125,-160.57493591308594,-202.14918518066406,-212.87802124023438,-205.8148651123047,-223.33863830566406,-188.9169464111328,-0.11767578125,1665550535.846936
-151.54483032226562,-190.1686553955078,-157.89273071289062,-198.12586975097656,-208.4076690673828,-201.25511169433594,-217.52719116210938,-184.80422973632812,-0.115966796875,1665550535.846953
-149.13084411621094,-186.68177795410156,-154.9423065185547,-194.72840881347656,-204.20555114746094,-197.3212127685547,-212.69920349121094,-180.78091430664062,-0.115478515625,1665550535.8706503
-147.34271240234375,-183.1949005126953,-152.52830505371094,-191.33094787597656,-200.45045471191406,-193.20848083496094,-207.60301208496094,-177.2046356201172,-0.115234375,1665550535.8957381
-145.1969451904297,-179.8868408203125,-150.11431884765625,-187.9334716796875,-196.9635772705078,-189.36398315429688,-203.13265991210938,-173.98599243164062,-0.115966796875,1665550535.9231594
-143.40879821777344,-177.2046356201172,-147.61093139648438,-185.07244873046875,-193.02967834472656,-185.69830322265625,-198.75172424316406,-170.58851623535156,-0.115478515625,1665550535.9381964
-141.88888549804688,-174.4330291748047,-145.4651641845703,-182.65846252441406,-189.9004364013672,-182.30084228515625,-194.54959106445312,-167.81690979003906,-0.115234375,1665550535.9406283
-140.27955627441406,-172.1084442138672,-143.49819946289062,-179.7974395751953,-187.2182159423828,-179.08218383789062,-190.9733123779297,-165.22410583496094,-0.1142578125,1665550535.945664
-138.40200805664062,-169.60504150390625,-141.79946899414062,-177.4728546142578,-184.35719299316406,-176.31056213378906,-187.8440704345703,-162.6313018798828,-0.11474609375,1665550535.9481514
-136.97149658203125,-167.4592742919922,-140.19015502929688,-175.14828491210938,-181.76438903808594,-173.53895568847656,-184.71482849121094,-159.85968017578125,-0.11474609375,1665550535.9506526
-135.8092041015625,-165.49232482910156,-138.31260681152344,-172.82369995117188,-179.26100158691406,-170.94615173339844,-181.40676879882812,-157.62451171875,-0.115234375,1665550535.9756498
-134.28929138183594,-163.4359588623047,-136.88209533691406,-170.8567352294922,-176.75759887695312,-168.53216552734375,-178.0987091064453,-155.56814575195312,-0.115234375,1665550536.000626
-133.484619140625,-161.82664489746094,-135.183349609375,-168.88978576660156,-174.25421142578125,-166.29698181152344,-175.68472290039062,-153.5117950439453,-0.11474609375,1665550536.0256834
-132.4117431640625,-160.3067169189453,-134.1998748779297,-167.10165405273438,-172.19784545898438,-164.3300323486328,-173.0919189453125,-152.17068481445312,-0.114013671875,1665550536.0506775
-131.0706329345703,-158.51858520507812,-133.1269989013672,-165.49232482910156,-170.32029724121094,-162.6313018798828,-170.8567352294922,-150.2931365966797,-0.1142578125,1665550536.075686
-129.81893920898438,-156.81983947753906,-131.60707092285156,-163.7041778564453,-168.53216552734375,-160.57493591308594,-168.53216552734375,-148.32618713378906,-0.11328125,1665550536.2049916
-129.1036834716797,-155.47874450683594,-130.087158203125,-162.45248413085938,-166.56520080566406,-158.6973876953125,-166.20758056640625,-146.80625915527344,-0.1142578125,1665550536.2050176
-128.2990264892578,-154.13763427734375,-129.4613037109375,-161.11138916015625,-164.6876678466797,-156.9986572265625,-164.24063110351562,-145.4651641845703,-0.115234375,1665550536.205027
-127.76258087158203,-152.6177215576172,-128.4778289794922,-159.3232421875,-162.98892211914062,-155.2999267578125,-162.0054473876953,-144.03465270996094,-0.1142578125,1665550536.2050352
-126.60028839111328,-151.1872100830078,-127.13672637939453,-157.89273071289062,-161.46900939941406,-153.6011962890625,-160.48553466796875,-142.8723602294922,-0.114501953125,1665550536.2050457
-125.97444152832031,-150.2037353515625,-126.24266052246094,-156.9986572265625,-160.12789916992188,-152.34950256347656,-158.6079864501953,-141.71006774902344,-0.115966796875,1665550536.205053
-125.1697769165039,-149.2202606201172,-125.52740478515625,-155.83636474609375,-158.78680419921875,-151.00839233398438,-157.17747497558594,-140.72659301757812,-0.115234375,1665550536.2050614
-124.27570343017578,-147.9685516357422,-124.45452117919922,-154.76348876953125,-157.17747497558594,-149.577880859375,-155.65756225585938,-139.38548278808594,-0.1142578125,1665550536.2050703
-123.5604476928711,-147.07447814941406,-123.5604476928711,-153.5117950439453,-156.0151824951172,-148.14736938476562,-154.3164520263672,-138.40200805664062,-0.1162109375,1665550536.205078
-123.11341094970703,-146.35922241210938,-122.8451919555664,-152.34950256347656,-154.76348876953125,-147.2532958984375,-152.79653930664062,-137.59735107421875,-0.115966796875,1665550536.2050855
-122.21934509277344,-145.10752868652344,-122.12993621826172,-151.72364807128906,-153.86941528320312,-146.2698211669922,-151.276611328125,-136.34564208984375,-0.1162109375,1665550536.2050939
-121.77230834960938,-144.12405395507812,-121.68289947509766,-150.74017333984375,-152.79653930664062,-145.1969451904297,-150.5613555908203,-135.36216735839844,-0.115234375,1665550536.205101
-121.23587036132812,-143.22998046875,-121.05705261230469,-149.6672821044922,-151.54483032226562,-144.2134552001953,-149.30966186523438,-134.55751037597656,-0.115234375,1665550536.2051086
-120.61001586914062,-142.5147247314453,-120.25238800048828,-149.04144287109375,-150.65077209472656,-142.96176147460938,-147.879150390625,-134.0210723876953,-0.11572265625,1665550536.2051165
